Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Datetime,Date
2024-12-30 09:30:00-05:00,252.22999572753906,253.0,251.36000061035156,251.47000122070312,1588980,0.0,0.0,2024-12-30 09:30:00-05:00,2024-12-30
2024-12-30 09:35:00-05:00,251.47000122070312,252.38499450683594,251.27999877929688,252.07000732421875,509864,0.0,0.0,2024-12-30 09:35:00-05:00,2024-12-30
2024-12-30 09:40:00-05:00,252.0800018310547,252.38999938964844,250.92999267578125,251.11000061035156,385710,0.0,0.0,2024-12-30 09:40:00-05:00,2024-12-30
2024-12-30 09:45:00-05:00,251.08009338378906,251.44000244140625,250.88999938964844,251.3699951171875,435380,0.0,0.0,2024-12-30 09:45:00-05:00,2024-12-30
2024-12-30 09:50:00-05:00,251.3699951171875,251.64999389648438,251.10000610351562,251.27999877929688,347502,0.0,0.0,2024-12-30 09:50:00-05:00,2024-12-30
2024-12-30 09:55:00-05:00,251.2877960205078,251.49899291992188,251.0200958251953,251.27000427246094,260164,0.0,0.0,2024-12-30 09:55:00-05:00,2024-12-30
2024-12-30 10:00:00-05:00,251.2613067626953,251.92990112304688,251.0,251.39999389648438,515470,0.0,0.0,2024-12-30 10:00:00-05:00,2024-12-30
2024-12-30 10:05:00-05:00,251.41000366210938,252.05999755859375,251.41000366210938,251.9499053955078,334000,0.0,0.0,2024-12-30 10:05:00-05:00,2024-12-30
2024-12-30 10:10:00-05:00,251.97000122070312,252.05999755859375,251.6300048828125,252.039306640625,278479,0.0,0.0,2024-12-30 10:10:00-05:00,2024-12-30
2024-12-30 10:15:00-05:00,252.02000427246094,252.02999877929688,250.97999572753906,250.97999572753906,292477,0.0,0.0,2024-12-30 10:15:00-05:00,2024-12-30
2024-12-30 10:20:00-05:00,250.98500061035156,251.32000732421875,250.9149932861328,250.98500061035156,282565,0.0,0.0,2024-12-30 10:20:00-05:00,2024-12-30
2024-12-30 10:25:00-05:00,250.98500061035156,251.14990234375,250.75,250.9199981689453,236631,0.0,0.0,2024-12-30 10:25:00-05:00,2024-12-30
2024-12-30 10:30:00-05:00,250.91600036621094,251.39999389648438,250.91600036621094,251.24000549316406,214134,0.0,0.0,2024-12-30 10:30:00-05:00,2024-12-30
2024-12-30 10:35:00-05:00,251.22000122070312,251.9449005126953,251.01019287109375,251.9149932861328,245460,0.0,0.0,2024-12-30 10:35:00-05:00,2024-12-30
2024-12-30 10:40:00-05:00,251.8699951171875,252.0399932861328,251.6060028076172,251.69000244140625,251845,0.0,0.0,2024-12-30 10:40:00-05:00,2024-12-30
2024-12-30 10:45:00-05:00,251.69000244140625,252.15989685058594,251.11000061035156,251.32000732421875,277286,0.0,0.0,2024-12-30 10:45:00-05:00,2024-12-30
2024-12-30 10:50:00-05:00,251.34500122070312,251.50999450683594,251.14999389648438,251.37010192871094,169392,0.0,0.0,2024-12-30 10:50:00-05:00,2024-12-30
2024-12-30 10:55:00-05:00,251.40089416503906,251.69000244140625,251.3350067138672,251.69000244140625,129655,0.0,0.0,2024-12-30 10:55:00-05:00,2024-12-30
2024-12-30 11:00:00-05:00,251.69000244140625,251.7449951171875,251.39999389648438,251.53759765625,146134,0.0,0.0,2024-12-30 11:00:00-05:00,2024-12-30
2024-12-30 11:05:00-05:00,251.5399932861328,251.61000061035156,251.27000427246094,251.44400024414062,194897,0.0,0.0,2024-12-30 11:05:00-05:00,2024-12-30
2024-12-30 11:10:00-05:00,251.42999267578125,251.5050048828125,251.05999755859375,251.27999877929688,266938,0.0,0.0,2024-12-30 11:10:00-05:00,2024-12-30
2024-12-30 11:15:00-05:00,251.25999450683594,252.04989624023438,251.22999572753906,251.9949951171875,268337,0.0,0.0,2024-12-30 11:15:00-05:00,2024-12-30
2024-12-30 11:20:00-05:00,251.97000122070312,252.28500366210938,251.8000946044922,251.8300018310547,189802,0.0,0.0,2024-12-30 11:20:00-05:00,2024-12-30
2024-12-30 11:25:00-05:00,251.8249969482422,251.9600067138672,251.72000122070312,251.89999389648438,141493,0.0,0.0,2024-12-30 11:25:00-05:00,2024-12-30
2024-12-30 11:30:00-05:00,251.88999938964844,252.1199951171875,251.80999755859375,252.0930938720703,136994,0.0,0.0,2024-12-30 11:30:00-05:00,2024-12-30
2024-12-30 11:35:00-05:00,252.08999633789062,252.3800048828125,251.99000549316406,252.3300018310547,150171,0.0,0.0,2024-12-30 11:35:00-05:00,2024-12-30
2024-12-30 11:40:00-05:00,252.35000610351562,252.59530639648438,252.25999450683594,252.53640747070312,183631,0.0,0.0,2024-12-30 11:40:00-05:00,2024-12-30
2024-12-30 11:45:00-05:00,252.52000427246094,252.57000732421875,252.17010498046875,252.2899932861328,188449,0.0,0.0,2024-12-30 11:45:00-05:00,2024-12-30
2024-12-30 11:50:00-05:00,252.3000030517578,252.52499389648438,252.24000549316406,252.37989807128906,160844,0.0,0.0,2024-12-30 11:50:00-05:00,2024-12-30
2024-12-30 11:55:00-05:00,252.37399291992188,252.6488037109375,252.33639526367188,252.5399932861328,115092,0.0,0.0,2024-12-30 11:55:00-05:00,2024-12-30
2024-12-30 12:00:00-05:00,252.49000549316406,252.77000427246094,252.49000549316406,252.58999633789062,156808,0.0,0.0,2024-12-30 12:00:00-05:00,2024-12-30
2024-12-30 12:05:00-05:00,252.64500427246094,252.69960021972656,252.35000610351562,252.47500610351562,205973,0.0,0.0,2024-12-30 12:05:00-05:00,2024-12-30
2024-12-30 12:10:00-05:00,252.47650146484375,252.8105010986328,252.47650146484375,252.53030395507812,129568,0.0,0.0,2024-12-30 12:10:00-05:00,2024-12-30
2024-12-30 12:15:00-05:00,252.5399932861328,252.75999450683594,252.5,252.6999053955078,120108,0.0,0.0,2024-12-30 12:15:00-05:00,2024-12-30
2024-12-30 12:20:00-05:00,252.68499755859375,252.97999572753906,252.6699981689453,252.91000366210938,166575,0.0,0.0,2024-12-30 12:20:00-05:00,2024-12-30
